"ZREGION";"ZREGION";"ZFUELTYP";"ZFUELTYP";"ZFUELCAT";"ZFUELCAT";"ZCOUNTRY";"ZCOUNTRY";"ZCONTI";"ZCONTI";"ZCALYEAR";"ZCALYEAR";"1ROWCOUNT0000000000000009";"ZCONSBCF00000000000000008";"ZCONSBCF00000000000000008";"ZCONSBCM00000000000000008";"ZCONSBCM00000000000000008";"ZCONSMT000000000000000007";"ZCONSMT000000000000000007";"ZCONSMTO00000000000000008";"ZCONSMTO00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTW000000000000000007";"ZCONSTW000000000000000007"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1999";"01999";"1";"0";"MT";"2";"BCF";"0";"TBD";"16";"BCM";"14";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2000";"02000";"1";"0";"MT";"2";"BCF";"0";"TBD";"17";"BCM";"16";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2001";"02001";"1";"0";"MT";"2";"BCF";"0";"TBD";"18";"BCM";"16";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2002";"02002";"1";"0";"MT";"2";"BCF";"0";"TBD";"18";"BCM";"16";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2003";"02003";"1";"0";"MT";"2";"BCF";"0";"TBD";"20";"BCM";"18";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2004";"02004";"1";"0";"MT";"2";"BCF";"0";"TBD";"24";"BCM";"21";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2005";"02005";"1";"0";"MT";"2";"BCF";"0";"TBD";"25";"BCM";"23";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2006";"02006";"1";"0";"MT";"2";"BCF";"0";"TBD";"24";"BCM";"22";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2007";"02007";"1";"0";"MT";"3";"BCF";"0";"TBD";"28";"BCM";"25";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2008";"02008";"1";"0";"MT";"3";"BCF";"0";"TBD";"30";"BCM";"27";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2009";"02009";"1";"0";"MT";"2";"BCF";"0";"TBD";"26";"BCM";"23";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2010";"02010";"1";"0";"MT";"3";"BCF";"0";"TBD";"27";"BCM";"24";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1965";"01965";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1966";"01966";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1967";"01967";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1968";"01968";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1969";"01969";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1970";"01970";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1971";"01971";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1972";"01972";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1973";"01973";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"NUC";"NUC";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1974";"01974";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
